iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,latest_day,popData2019,percent_pop_fully_vac
AGO,Angola,2021-05-31,909215,679034,230181,NA,12888,2.77,2.07,0.7,392,2021-05-31,31825299,0.7232642181932054
BEN,Benin,2021-05-21,12934,12516,418,NA,250,0.11,0.1,0,21,2021-05-21,11801151,0.0035420273836001253
BFA,Burkina Faso,2021-06-02,200,200,NA,NA,NA,0,0,NA,NA,2021-06-02,20321383,NA
BWA,Botswana,2021-05-31,146725,NA,NA,NA,1992,6.24,NA,NA,847,2021-05-31,2303703,NA
CAF,Central African Republic,2021-05-31,18408,17691,717,NA,934,0.38,0.37,0.01,193,2021-05-31,4745179,0.015110072770700537
CIV,Cote d'Ivoire,2021-06-05,593683,593683,NA,NA,7634,2.25,2.25,NA,289,2021-06-05,25716554,NA
CMR,Cameroon,2021-05-31,75215,63404,11811,NA,2601,0.28,0.24,0.04,98,2021-05-31,25876387,0.04564393012053808
COD,Democratic Republic of Congo,2021-05-31,23197,23197,NA,NA,713,0.03,0.03,NA,8,2021-05-31,86790568,NA
COG,Congo,2021-05-18,38268,22623,15645,NA,138,0.69,0.41,0.28,25,2021-05-18,5380504,0.2907720168965584
CPV,Cape Verde,2021-05-26,24382,21663,2719,NA,193,4.39,3.9,0.49,347,2021-05-26,549936,0.4944211690087573
DJI,Djibouti,2021-06-01,21357,12547,8810,NA,802,2.16,1.27,0.89,812,2021-06-01,973557,0.9049290385668225
DZA,Algeria,2021-06-06,2500000,2500000,NA,NA,22664,5.7,5.7,NA,517,2021-06-06,43053054,NA
EGY,Egypt,2021-06-01,2822479,2465521,356958,NA,99188,2.76,2.41,0.35,969,2021-06-01,100388076,0.3555780867839324
ETH,Ethiopia,2021-06-04,1865958,1865958,NA,12699,9688,1.62,1.62,NA,84,2021-06-04,112078727,NA
FRA,France,2021-06-06,40237289,27969359,12634856,176999,564799,59.55,41.4,18.7,8359,2021-06-06,67012883,18.854368644309783
GAB,Gabon,2021-06-05,23371,14352,9019,NA,121,1.05,0.64,0.41,54,2021-06-05,2172578,0.4151289389840089
